step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
58000,0.03163024038076401,0.03365743737667799,1.6997569225385825e-05,,5.0,0.02,0.5,,,,
58200,0.03665551915764809,,1.6729105364828484e-05,,5.0,0.02,0.5,,,,
58400,0.03792872279882431,,1.6463255544192677e-05,,5.0,0.02,0.5,,,,
58600,0.044484905898571014,,1.6200039191061967e-05,,5.0,0.02,0.5,,,,
58800,0.03206004947423935,,1.5939475540573212e-05,,5.0,0.02,0.5,,,,
59000,0.020777065306901932,0.04638540912419557,1.5681583634011045e-05,,5.0,0.02,0.5,,,,
59200,0.03245565667748451,,1.542638231741621e-05,,5.0,0.02,0.5,,,,
59400,0.027540870010852814,,1.5173890240208488e-05,,5.0,0.02,0.5,,,,
59600,0.03328239917755127,,1.4924125853823804e-05,,5.0,0.02,0.5,,,,
59800,0.039965346455574036,,1.4677107410365775e-05,,5.0,0.02,0.5,,,,
60000,0.05297397822141647,0.03971993196755648,1.4432852961272066e-05,,5.0,0.02,0.5,,,,
60200,0.024530770257115364,,1.4191380355995027e-05,,5.0,0.02,0.5,,,,
60400,0.039927512407302856,,1.3952707240697472e-05,,5.0,0.02,0.5,,,,
60600,0.056956399232149124,,1.3716851056963062e-05,,5.0,0.02,0.5,,,,
60800,0.03496241569519043,,1.3483829040521755e-05,,5.0,0.02,0.5,,,,
61000,0.03157445788383484,0.035079782083630565,1.3253658219990254e-05,,5.0,0.02,0.5,,,,
61200,0.030880706384778023,,1.3026355415627564e-05,,5.0,0.02,0.5,,,,
61400,0.038090333342552185,,1.28019372381059e-05,,5.0,0.02,0.5,,,,
61600,0.030647754669189453,,1.2580420087296746e-05,,5.0,0.02,0.5,,,,
61800,0.028363574296236038,,1.2361820151072455e-05,,5.0,0.02,0.5,,,,
62000,0.028152918443083763,0.03943672850728035,1.2146153404123189e-05,,5.0,0.02,0.5,,,,
62200,0.036856234073638916,,1.1933435606789684e-05,,5.0,0.02,0.5,,,,
62400,0.03513053432106972,,1.172368230391136e-05,,5.0,0.02,0.5,,,,
62600,0.04337332025170326,,1.151690882369048e-05,,5.0,0.02,0.5,,,,
62800,0.02459229901432991,,1.1313130276571938e-05,,5.0,0.02,0.5,,,,
63000,0.04170708358287811,0.03389414101839065,1.1112361554139004e-05,,5.0,0.02,0.5,,,,
63200,0.033227577805519104,,1.0914617328025205e-05,,5.0,0.02,0.5,,,,
63400,0.03337985649704933,,1.0719912048842007e-05,,5.0,0.02,0.5,,,,
63600,0.02813280001282692,,1.0528259945122925e-05,,5.0,0.02,0.5,,,,
63800,0.033225592225790024,,1.0339675022283682e-05,,5.0,0.02,0.5,,,,
64000,0.03016660362482071,0.0327841904014349,1.015417106159875e-05,,5.0,0.02,0.5,,,,
64200,0.03758835047483444,,9.97176161919423e-06,,5.0,0.02,0.5,,,,
