step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_ratio,selector_budget,selector_entropy
116600,0.029972264543175697,,5.195797868443496e-07,2.597898934221748e-07,5.0,0.02,0.08450507093220949,0.0009343926821578918,0.00012527640001280815
116800,0.03880211338400841,,5.173453943992672e-07,2.586726971996336e-07,5.0,0.02,0.12036912702023983,0.0009504211593593936,0.00020729215111714439
117000,0.03737185150384903,,5.152460999388505e-07,2.5762304996942523e-07,5.0,0.02,0.10836554132401943,0.0004930575196340214,0.000333736912580207
117200,0.033904559444636106,,5.132819633893944e-07,2.566409816946972e-07,5.0,0.02,0.10208534356206656,0.0006877834025544871,8.293059363495559e-05
117400,0.04138810420408845,,5.114530408189852e-07,2.557265204094926e-07,5.0,0.02,0.08976513147354126,0.0007467068535333965,0.00021077449378026358
117600,0.036813732236623764,,5.097593844359026e-07,2.548796922179513e-07,5.0,0.02,0.08941275998950005,0.0015218784174066968,4.878434492638917e-05
117800,0.03161444282159209,,5.082010425871273e-07,2.5410052129356364e-07,5.0,0.02,0.09770144894719124,0.0001111398292303889,0.00014908828416082542
118000,0.038115482311695814,,5.067780597569633e-07,2.5338902987848163e-07,5.0,0.02,0.1045080628246069,0.00034915502037335955,0.00010935630939457042
118200,0.04224183410406113,,5.054904765657661e-07,2.5274523828288303e-07,5.0,0.02,0.10213149338960648,0.00037718731255154125,0.00014007793015480274
118400,0.04253460932523012,,5.043383297687832e-07,2.521691648843916e-07,5.0,0.02,0.06114056892693043,0.0018188615576946177,1.4839768937235931e-05
118600,0.03755646990612149,,5.033216522551067e-07,2.5166082612755336e-07,5.0,0.02,0.07692185789346695,0.0007096961462593754,6.317928091448266e-05
118800,0.052061895839869976,,5.024404730467325e-07,2.5122023652336626e-07,5.0,0.02,0.11736787296831608,0.0038720989832654595,0.00014768170535717218
119000,0.04170855227857828,,5.016948172977328e-07,2.508474086488664e-07,5.0,0.02,0.11412537842988968,0.00026239310071218824,0.00016509239958395483
119200,0.04511093907058239,,5.010847062935375e-07,2.5054235314676876e-07,5.0,0.02,0.0900950487703085,0.00022826723962054984,0.00012638754833460553
119400,0.0460900804027915,,5.006101574503269e-07,2.5030507872516344e-07,5.0,0.02,0.10515104234218597,0.00020469164897463088,0.00012809394002033514
119600,0.03331442875787616,,5.002711843145351e-07,2.5013559215726753e-07,5.0,0.02,0.08228328824043274,0.0005275246112432797,8.407524910580833e-05
119800,0.044106027111411095,,5.000677965624629e-07,2.5003389828123143e-07,5.0,0.02,0.10549640469253063,0.0007732251506240573,6.67527021960268e-05
120000,0.03515204507857561,,5.000000000000001e-07,2.5000000000000004e-07,5.0,0.02,0.07547529507428408,0.0007762284219552384,4.4801349758927245e-05
